Id,Class
0,3
1,5
2,3
3,3
4,4
5,6
6,1
7,2
8,9
9,5
10,9
11,3
12,1
13,1
14,6
15,5
16,3
17,8
18,3
19,3
20,7
21,0
22,8
23,0
24,8
25,4
26,9
27,4
28,6
29,6
30,8
31,3
32,8
33,5
34,0
35,3
36,1
37,3
38,8
39,8
40,4
41,9
42,7
43,0
44,3
45,5
46,5
47,9
48,3
49,4
50,7
51,3
52,0
53,8
54,4
55,7
56,8
57,7
58,2
59,8
60,6
61,3
62,0
63,2
64,2
65,2
66,9
67,1
68,7
69,7
70,7
71,9
72,4
73,0
74,2
75,9
76,8
77,6
78,1
79,1
80,9
81,6
82,4
83,9
84,9
85,7
86,4
87,0
88,9
89,5
90,0
91,6
92,2
93,8
94,1
95,2
96,4
97,7
98,1
99,6
100,8
101,0
102,6
103,4
104,4
105,2
106,4
107,7
108,7
109,0
110,5
111,6
112,0
113,9
114,2
115,4
116,6
117,9
118,3
119,3
120,3
121,7
122,1
123,5
124,5
125,1
126,3
127,5
128,6
129,0
130,5
131,9
132,7
133,6
134,4
135,9
136,5
137,6
138,9
139,8
140,3
141,3
142,5
143,7
144,2
145,5
146,1
147,2
148,5
149,7
150,2
151,7
152,6
153,4
154,3
155,4
156,3
157,7
158,1
159,3
160,2
161,5
162,9
163,2
164,2
165,9
166,6
167,1
168,3
169,0
170,4
171,4
172,9
173,8
174,6
175,8
176,2
177,3
178,1
179,9
180,6
181,8
182,9
183,7
184,6
185,8
186,3
187,0
188,1
189,4
190,6
191,2
192,5
193,1
194,3
195,0
196,0
197,1
198,4
199,9
200,8
201,8
202,3
203,7
204,7
205,8
206,8
207,5
208,8
209,3
210,5
211,8
212,6
213,4
214,2
215,8
216,7
217,8
218,9
219,5
220,4
221,4
222,0
223,4
224,0
225,3
226,4
227,1
228,7
229,7
230,2
231,1
232,4
233,1
234,4
235,4
236,4
237,2
238,2
239,9
240,5
241,4
242,1
243,9
244,6
245,4
246,6
247,6
248,6
249,7
250,0
251,5
252,0
253,4
254,3
255,3
256,4
257,9
258,0
259,5
260,3
261,7
